,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
301,2022-02-04 17:56:12+00:00,1489659067651932162,"I’ve got 3 types of tweets: 
-hockey is hot 
-hockey was a mistake. 
-I AM GOING TO END IT ALL IVE NEVER FELT ANGUISH THIS TORMENTING",CrazySadAzn,4,Takara/TK ✌️,en
302,2022-02-04 17:54:28+00:00,1489658630634938376,"Siri, post a gif that expresses the anguish of someone who has to go into a meeting at 8pm on a Friday night.",mcwhitaker,0,"Clara Whitaker, The Career Doctor",en
303,2022-02-04 17:53:19+00:00,1489658341051682817,I’m just laying in bed gutturally shouting in mental anguish. why? just why?,CrazySadAzn,0,Takara/TK ✌️,en
304,2022-02-04 17:52:32+00:00,1489658144586272770,"Though the train is almost here 
Now it brings me anguish",dreaminbloomin,0,griff quotes,en
305,2022-02-04 17:52:27+00:00,1489658122134196224,"Of anguish, customers who will respond with anger it is I'm a Prince of Wales
https://t.co/ORSXNrUwTe
And speculation floor, underneath a singledisco ballin front of
https://t.co/RFOt5vZ4qe",PaulinaJalowiec,0,Paulinaaa;D,en
306,2022-02-04 17:52:15+00:00,1489658071144185862,99% of mine seem to be intended to remind me what's right and wrong. I do something horrible and spend the rest of the dream in mental anguish as I reap the consequences. Sometimes I'm caught in a cataclysmic disaster and die with millions of other people. pretty on brand I guess https://t.co/mmBHJgn1Jy,sm_hull,1,local oaf,en
307,2022-02-04 17:46:36+00:00,1489656651732951041,"@DrHookOfficial Yes, and in this video, you actually seem exhausted after pouring your emotion into song. Love that song and the emotion that pours out. The great part of music finding beauty in a song even when it conveys pain/anguish.",fiojazl,1,Louis Marcone,en
308,2022-02-04 17:44:04+00:00,1489656011979907081,"@Rdlk13 @BritainElects Yes, I'm sobbing in anguish here 😂",jonkennaugh,0,Jon Kennaugh,en
309,2022-02-04 17:43:28+00:00,1489655862486573059,"In World War One I should add. 

Imagine the pain and anguish the family went though, although no doubt stoic as people generally were.",FabulousMrsFox,2,Fabulous Mrs Fox,en
310,2022-02-04 17:42:43+00:00,1489655671012225029,"Invisible, untouchable, these convictions crush whatever anguish",charlatanblues,0,Chikage lyrics bot!,en
311,2022-02-04 17:42:13+00:00,1489655546168836104,"a boy of anguish, now he's a man of soul, traded in his misery for the lonely life of the road",aalyricstho,0,Asking Alexandria,en
312,2022-02-04 17:39:57+00:00,1489654978373648384,"@aMYTHila_15 That's why the popular uprising (mostly violent) has come down.
Media though thrives on sorrow &amp; anguish. Happiness just cannot get the clicks, hits, eyeballs, engagements, TRP's",HereticGoan,0,𝑺𝒂𝒎𝒆𝒆𝒓 𝑷𝒉𝒂𝒍,en
313,2022-02-04 17:39:38+00:00,1489654898090196993,mitski gave us an album so in turn i will give her all my tears of anguish,imminlvewtaegyu,0,?,en
314,2022-02-04 17:39:28+00:00,1489654852817137664,"If a continent sinks, all those lives will perish from the earth. Doesn’t the Earth Consciousness feel anything on such a huge tragedy? #sinking #continent #anguish https://t.co/pdk6gkhtIm",prophecy_lmr,1,A Natural Disaster,en
315,2022-02-04 17:39:27+00:00,1489654852066189317,Madame Nightmares Anguish https://t.co/c2mpwwfVmL,highldterrasen,0,Aelin Archeron Whitethorn Galathynius ❞,en
316,2022-02-04 17:39:22+00:00,1489654828020088837,"Condition that anguish, in his attempt to comeback
https://t.co/9EYx0ILyd2
Submit, to another, you will stop gossiping about everybody else's dream but
https://t.co/HNANvMeBmi",POLOBABY240,0,POLO BISH,en
317,2022-02-04 17:39:14+00:00,1489654797011763209,Help this one clip of Billy Kametz screaming in anguish is stuck in my head and is so good,DanniSnappy,0,Danni M.,en
318,2022-02-04 17:39:02+00:00,1489654743718846470,haven’t streamed since 2022 started so these the numbers we starting at this year. let’s see what we can do 🙏🔥 https://t.co/pqCa3pfjnN,glochann_ttv,5,💕’s anguish,en
319,2022-02-04 17:38:59+00:00,1489654732109008899,"Just reviewed the Bible, afraid the Red States will have to ban it.  Mentions slavery, ""lying with a man"", ""spilling your seed"" (I am clutching my pearls). ""Giving unto others"" sounds socialist to me.  Threat of hell will cause anguish.  Nope, gotta ban this.",colorthebiglie,0,The Presidential Coloring Book,en
320,2022-02-04 17:38:41+00:00,1489654656590565380,"@ManablazeMick @ImNotSkyeZA Yes.  Its quite disgusting really.  She was being accused and attacked at full throttle.  Imagine the anguish, the trying to put out the truth to an audience with no ears.  Hervdigjity impaired with those accusations.  Disgusting",Antoine53933733,4,molina new phone,en
321,2022-02-04 17:37:01+00:00,1489654238091354116,streams gone be crazyyy lit https://t.co/6oAMh9Epsb,glochann_ttv,0,💕’s anguish,en
322,2022-02-04 17:36:51+00:00,1489654195993014272,"Life, although it may only be an accumulation of anguish, is dear to me, and I will defend it.",flowerybot,0,did something happen to you?,en
323,2022-02-04 17:36:31+00:00,1489654114489274369,mitski gave us an album so in turn i will give her all my tears of anguish,saraabeann,0,Satan.,en
324,2022-02-04 17:35:37+00:00,1489653886000447501,"Of anguish, Government and church should rather be his willingness to take
https://t.co/hzCJNi5DrQ
Opening of but thoughts are full of wonder &amp;amp; curiosity stays alive
ï»¿https://t.co/TigsiRcddg",gitaelek34,0,luph_luph gita,en
325,2022-02-04 17:35:25+00:00,1489653833932410887,"Unforgivable: James Bulger - a  mother’s anguish Denise Fergus tells her... https://t.co/zH8Bvpk6hd via @YouTube

We’re official sponsors of this podcast. Please support them. Great work @billymooreAPBD",KR_Couriers,5,KR Couriers & Transport,en
326,2022-02-04 17:34:10+00:00,1489653520185843718,"@ZubyMusic No, no, that is just your internalised anguish letting itself be heard.",Lulabel06994981,0,Lulabelle B,en
